subscription_id,user_id,plan_type,start_date,cancel_date
1,43,monthly,2023-07-15,NULL
2,52,monthly,2024-03-03,2024-03-10
3,59,annual,2023-08-15,NULL
4,184,monthly,2024-04-06,2024-04-06
5,300,monthly,2024-06-17,NULL
6,313,monthly,2023-12-30,NULL
7,321,monthly,2023-10-23,NULL
8,394,annual,2023-02-16,2023-02-27
9,400,monthly,2024-03-24,2024-05-04
10,470,monthly,2024-06-24,2024-07-19
11,477,monthly,2023-11-19,NULL
12,491,monthly,2024-06-09,NULL
13,617,annual,2023-07-26,2023-08-31
14,624,annual,2023-09-11,2023-10-04
15,637,annual,2023-09-09,NULL
16,642,monthly,2023-10-25,NULL
17,890,monthly,2024-01-18,NULL
18,895,monthly,2023-08-07,2023-09-07
19,933,annual,2023-07-08,2023-07-21
20,1002,annual,2024-04-14,2024-05-06
21,1077,annual,2024-06-04,2024-06-16
22,1119,annual,2024-06-18,2024-07-11
23,1157,monthly,2023-11-15,NULL
24,1175,monthly,2023-11-06,NULL
25,1185,annual,2024-03-17,2024-05-01
26,1245,monthly,2023-06-04,NULL
27,1256,annual,2024-05-05,NULL
28,1286,annual,2023-06-14,NULL
29,1296,annual,2023-09-05,NULL
30,1432,monthly,2023-11-21,NULL
31,1694,monthly,2024-04-08,2024-05-18
32,1826,monthly,2023-07-15,2023-07-24
33,1837,monthly,2024-01-27,NULL
34,2012,annual,2024-03-12,2024-04-01
35,2044,annual,2023-05-17,NULL
36,2069,annual,2023-06-30,NULL
37,2125,annual,2023-10-22,2023-11-27
38,2132,annual,2023-07-01,2023-08-23
39,2180,monthly,2023-06-14,NULL
40,2199,annual,2024-05-24,NULL
41,2234,annual,2023-10-16,NULL
42,2359,monthly,2023-09-30,NULL
43,2486,monthly,2023-11-29,NULL
44,2508,monthly,2024-03-31,2024-05-04
45,2657,monthly,2023-01-08,NULL
46,2685,annual,2024-03-21,2024-04-05
47,2712,annual,2023-01-24,NULL
48,2775,annual,2023-03-11,NULL
49,2807,annual,2024-03-09,NULL
50,2828,monthly,2024-05-20,NULL
51,2968,annual,2023-06-06,NULL
52,3042,monthly,2023-10-30,NULL
53,3066,monthly,2024-02-10,2024-03-14
54,3086,annual,2024-06-18,NULL
55,3120,monthly,2023-03-11,2023-04-29
56,3204,monthly,2023-01-09,NULL
57,3259,annual,2024-01-03,NULL
58,3276,monthly,2024-01-22,2024-02-21
