user_id,signup_date,country,device_type,traffic_source
1,2024-02-24,Australia,desktop,google_ads
2,2023-05-30,Singapore,desktop,google_ads
3,2024-05-12,Brazil,desktop,organic_search
4,2023-09-24,Canada,tablet,facebook_ads
5,2024-06-15,India,tablet,referral
6,2023-06-20,Brazil,desktop,organic_search
7,2024-01-09,US,mobile,google_ads
8,2024-03-19,India,mobile,organic_search
9,2024-03-28,US,tablet,organic_search
10,2023-01-15,Brazil,tablet,organic_search
11,2023-09-09,US,tablet,organic_search
12,2023-11-30,US,mobile,organic_search
13,2024-03-28,Brazil,tablet,referral
14,2024-01-19,India,tablet,google_ads
15,2023-12-31,Singapore,tablet,google_ads
16,2023-05-28,India,tablet,email
17,2024-04-02,UK,desktop,google_ads
18,2023-08-23,UK,tablet,direct
19,2023-09-11,Brazil,tablet,organic_search
20,2023-01-20,US,desktop,email
21,2023-06-01,Germany,tablet,email
22,2023-05-04,US,tablet,email
23,2023-09-04,Australia,mobile,direct
24,2023-04-28,India,mobile,direct
25,2023-11-09,Australia,tablet,google_ads
26,2024-06-23,UK,tablet,facebook_ads
27,2024-04-13,US,desktop,organic_search
28,2023-08-26,Brazil,desktop,organic_search
29,2024-02-13,Singapore,mobile,organic_search
30,2024-01-24,Germany,desktop,referral
31,2023-09-12,India,mobile,referral
32,2023-05-24,India,tablet,organic_search
33,2023-06-06,Canada,mobile,facebook_ads
34,2024-05-10,UK,mobile,referral
35,2023-05-20,India,tablet,google_ads
36,2023-04-04,Australia,desktop,google_ads
37,2024-02-23,UK,tablet,google_ads
38,2024-01-13,Australia,desktop,organic_search
39,2023-03-06,India,mobile,referral
40,2023-07-12,Australia,tablet,referral
41,2023-12-19,Singapore,mobile,referral
42,2024-04-06,India,desktop,email
43,2023-07-08,Canada,tablet,google_ads
44,2023-11-04,US,tablet,organic_search
45,2023-01-30,Brazil,tablet,organic_search
46,2023-08-10,US,tablet,direct
47,2023-09-20,India,mobile,email
48,2024-02-21,Canada,mobile,organic_search
49,2024-03-26,US,mobile,email
50,2024-02-25,India,desktop,facebook_ads
51,2023-08-07,India,tablet,google_ads
52,2024-02-25,UK,desktop,direct
53,2023-06-07,India,mobile,direct
54,2023-01-15,Canada,mobile,email
55,2023-08-01,Canada,mobile,direct
56,2024-06-02,Australia,desktop,facebook_ads
57,2023-10-11,UK,mobile,referral
58,2024-06-19,Canada,mobile,organic_search
59,2023-08-06,Singapore,mobile,organic_search
60,2024-02-11,Germany,mobile,email
61,2023-09-04,Australia,desktop,organic_search
62,2023-12-15,Australia,tablet,email
63,2023-11-29,Brazil,desktop,google_ads
64,2023-03-24,US,tablet,referral
65,2023-07-27,Canada,tablet,email
66,2023-08-22,Australia,mobile,organic_search
67,2023-02-13,US,mobile,facebook_ads
68,2023-08-19,US,mobile,google_ads
69,2024-05-11,Australia,desktop,referral
70,2023-01-07,Germany,desktop,google_ads
71,2023-12-17,Singapore,tablet,google_ads
72,2024-04-21,Australia,tablet,organic_search
73,2023-01-10,Australia,tablet,email
74,2023-10-21,Canada,tablet,email
75,2023-01-13,Australia,tablet,facebook_ads
76,2024-02-10,Germany,mobile,google_ads
77,2023-12-06,Germany,tablet,google_ads
78,2024-02-25,US,tablet,email
79,2024-04-21,US,tablet,email
80,2023-10-12,Germany,tablet,email
81,2023-06-06,Canada,mobile,facebook_ads
82,2024-01-21,India,desktop,organic_search
83,2023-03-26,Germany,tablet,direct
84,2023-12-19,India,tablet,referral
85,2023-06-06,Singapore,tablet,organic_search
86,2023-12-25,UK,tablet,direct
87,2023-03-09,Singapore,mobile,google_ads
88,2023-04-16,Germany,mobile,direct
89,2024-04-23,Brazil,mobile,facebook_ads
90,2023-07-19,Brazil,tablet,organic_search
91,2024-01-24,Germany,desktop,direct
92,2023-03-11,Singapore,tablet,email
93,2024-02-06,India,desktop,facebook_ads
94,2023-07-24,India,desktop,direct
95,2023-01-16,Canada,mobile,organic_search
96,2024-06-19,Brazil,mobile,email
97,2023-02-08,US,tablet,email
98,2023-01-03,Singapore,mobile,facebook_ads
99,2024-05-24,Singapore,desktop,email
100,2023-07-04,Germany,desktop,direct
101,2024-04-03,Germany,tablet,facebook_ads
102,2024-02-17,Canada,tablet,facebook_ads
103,2024-06-03,India,tablet,direct
104,2024-04-08,Germany,tablet,referral
105,2023-11-16,Australia,mobile,google_ads
106,2023-05-12,Canada,desktop,referral
107,2023-11-07,Germany,tablet,email
108,2024-01-29,Germany,mobile,facebook_ads
109,2023-11-04,Canada,desktop,email
110,2023-05-19,UK,desktop,organic_search
111,2024-01-20,US,mobile,email
112,2023-07-24,India,desktop,facebook_ads
113,2024-06-16,Singapore,mobile,google_ads
114,2023-07-25,Germany,mobile,google_ads
115,2023-11-23,Germany,desktop,organic_search
116,2024-03-05,Singapore,tablet,direct
117,2023-12-16,UK,mobile,referral
118,2023-08-13,UK,desktop,email
119,2023-09-23,UK,desktop,referral
120,2024-03-28,Germany,mobile,google_ads
121,2024-03-14,India,mobile,referral
122,2023-07-27,US,mobile,google_ads
123,2023-04-04,US,desktop,referral
124,2023-02-21,Australia,mobile,facebook_ads
125,2023-12-31,Australia,desktop,facebook_ads
126,2023-09-29,US,desktop,direct
127,2024-02-08,US,tablet,google_ads
128,2024-03-05,UK,mobile,organic_search
129,2023-04-18,Australia,mobile,facebook_ads
130,2023-04-02,Singapore,tablet,facebook_ads
131,2023-03-24,Singapore,tablet,direct
132,2023-07-15,UK,mobile,facebook_ads
133,2024-03-31,US,tablet,referral
134,2023-05-04,UK,desktop,facebook_ads
135,2024-06-10,India,tablet,direct
136,2024-01-03,India,desktop,google_ads
137,2023-12-30,India,tablet,email
138,2024-06-14,Canada,desktop,direct
139,2023-05-13,Canada,desktop,referral
140,2023-10-11,US,tablet,email
141,2023-03-25,Singapore,tablet,referral
142,2024-03-10,India,mobile,organic_search
143,2023-04-29,Singapore,mobile,email
144,2023-01-18,Singapore,desktop,email
145,2023-02-03,Australia,tablet,organic_search
146,2024-01-23,India,desktop,facebook_ads
147,2024-05-31,India,tablet,direct
148,2023-05-01,India,mobile,organic_search
149,2024-02-18,Singapore,mobile,organic_search
150,2023-07-10,Brazil,tablet,google_ads
151,2023-02-17,Singapore,desktop,email
152,2023-08-03,Brazil,mobile,organic_search
153,2023-06-13,US,desktop,email
154,2023-10-22,India,tablet,organic_search
155,2024-03-26,Brazil,desktop,direct
156,2024-06-18,Germany,tablet,direct
157,2023-04-25,Germany,tablet,facebook_ads
158,2024-02-11,Germany,desktop,direct
159,2024-03-02,Australia,desktop,google_ads
160,2024-04-12,Singapore,tablet,facebook_ads
161,2024-04-23,Germany,tablet,facebook_ads
162,2023-03-15,Singapore,tablet,email
163,2024-04-05,US,desktop,organic_search
164,2024-01-08,US,mobile,organic_search
165,2023-08-20,US,tablet,referral
166,2023-08-05,US,tablet,email
167,2023-12-24,UK,tablet,organic_search
168,2023-09-24,Germany,mobile,referral
169,2023-08-05,Canada,tablet,referral
170,2023-06-27,UK,desktop,direct
171,2023-12-12,Canada,mobile,email
172,2024-04-09,UK,desktop,facebook_ads
173,2023-06-26,Germany,desktop,referral
174,2023-02-26,US,tablet,facebook_ads
175,2023-05-24,Australia,tablet,google_ads
176,2024-03-13,Germany,mobile,organic_search
177,2023-09-27,Canada,tablet,organic_search
178,2023-09-27,UK,mobile,organic_search
179,2023-10-14,Germany,mobile,organic_search
180,2023-12-06,Australia,tablet,facebook_ads
